camera,month,train_samples,test_samples,accuracy,f1,precision,recall
camera_alpha,2025-51,371,93,0.9354838709677419,0.7692307692307693,0.6666666666666666,0.9090909090909091
camera_alpha,2026-01,227,57,1.0,0.0,0.0,0.0
camera_alpha,2026-02,408,102,0.9803921568627451,0.5,1.0,0.3333333333333333
camera_alpha,2026-03,482,121,1.0,0.0,0.0,0.0
camera_alpha,2026-04,497,125,1.0,0.0,0.0,0.0
camera_alpha,2026-05,29,8,1.0,0.0,0.0,0.0
camera_beta,2025-51,371,93,0.8602150537634409,0.7450980392156863,0.76,0.7307692307692307
camera_beta,2026-01,228,57,1.0,0.0,0.0,0.0
camera_beta,2026-02,409,103,0.9902912621359223,0.8,1.0,0.6666666666666666
camera_beta,2026-03,481,121,0.9917355371900827,0.0,0.0,0.0
camera_beta,2026-04,500,126,0.9920634920634921,0.0,0.0,0.0
camera_beta,2026-05,28,8,1.0,0.0,0.0,0.0
